   93664	pistää_silmä	 idiomatic	Heidän joukostaan minä pistin silmääsi senvuoksi , etten ollut ollenkaan _heidän_ kaltaisensa .
 2493878	pistää_silmä	 idiomatic	Tämän kuullessani hämmästyin hieman , koska d'Agen oli vieläkin puettu ja varustettu kuin matkaa varten , kokonaan ilman niitä somistuksia , jotka tavallisesti pistivät silmään hänen ulkoasussaan .
 2507780	pistää_silmä	   literal	-- En tiedä , teenkö syntiä , mutta varma on , että antaisin mielelläni pistää silmäni puhki saadakseni kuulla teidän lauluanne kuolemaani asti .
 2602127	pistää_silmä	 idiomatic	Sanalla sanoen , koko talo on muuttunut oikeaksi herrastaloksi , joka ensimmäiseksi pistää silmään kylään tullessa , sillä toiset talot ovat pysyneet jokseenkin ennallaan , yhtä harmaina .
 2607464	pistää_silmä	 idiomatic	Vaikka suuresti ihailemmekin sitä suurenmoista rakkauden pontevuutta , mikä mainitussa liikkeessä pistää silmäämme , emme voi olla lausumatta siitä arvostelua raamatun kannalla .
 2612773	pistää_silmä	 idiomatic	Hän iloitsi sanomattomasti Atalian pukiessa hänen päälleen silkkipukujaan , jotka nyt , jouduttuaan pois muodista , pistivät silmiin , mutta kaikkein eniten hän iloitsi korkeasta kammasta ja koreasta nauharuususta .
 2638380	pistää_silmä	 idiomatic	Koska he eivät omistaneet mitään ja kävivät puettuina kaapuun , joka mitä eriskummaisimmin pisti silmään muitten pukineista , ja koska he muita selvemmin julkisesti osoittivat nöyryyttään , he lähemmin joutuivat alttiiksi kunnioitukselle ja ylenkatseelle , joita tunteita nuo heidän ominaisuutensa saattavat herättää , riippuen ihmisten eri luonteista ja ajatuskannasta .
 2646687	pistää_silmä	 idiomatic	Tällaisissa oloissa , jolloin jokainen tahtoisi piiloittautua maan alle , hän päinvastoin hakee kaikkia keinoja tulla huomatuksi , pistää silmään ; näyttääpä hän oikein tahtovan heitä yllyttää .
 2647686	pistää_silmä	 idiomatic	Toisaalla pisti silmään tulikukka , suuret pumpulipeitteiset lehdet levällä maassa , varsi suorana ja solakkana nousten ylös ja pitkät keltaiset kukkatähkät säteinä ryhmittyneinä ympäri vartta .
 2700828	pistää_silmä	 idiomatic	Pojilla oli yhäkin kenkäin varret alaspäin kierrettyinä , niin että punainen sahviaani tuli kokonaan näkyviin ja tyttärien päällyshameet olivat siksi ylöspäin käännetyt , että punaraitaiset sukat sieltä pistivät silmään samoinkuin monenkarvaiset alushameitten helmat .
 2707548	pistää_silmä	 idiomatic	Mutta kaikki tuo pisti silmiin vain kaupungilla , lukiossa oltiin siihen vähitellen totuttu , joten sitä siellä ei huomattu .
 2768609	pistää_silmä	 idiomatic	Verratessamme toisiinsa vanhempien viljelyskasviemme ja kotieläimiemme saman muunnoksen tai alamuunnoksen yksilöitä , pistää silmään ensinnä eräs seikka , nimittäin se , että ne yleensä eroavat toisistaan enemmän kuin jonkin lajin tai muunnoksen yksilöt luonnontilassa .
 2768968	pistää_silmä	 idiomatic	Kasveissa tämä jalostuminen , jonka aiheuttaa paraiden yksilöiden satunnainen säilyminen -- olkootpa nuo yksilöt niin eroavia , että niitä heti niiden esiintyessä voidaan pitää erityisinä muunnoksina tai älkööt ja olkoonpa kahta tai useampia eri lajeja tai rotuja sekotettu toisiinsa tai älköön -- kasveissa tämä jalostuminen on selvästi havaittavissa lisääntyneestä ko'osta ja kauneudesta , joka pistää silmäämme orvokin , ruusun , pelargoniumin , georginin y.m .
 2780672	pistää_silmä	 idiomatic	Pienet pistävät silmät puhuivat sammuneista intohimoista , ja hänen kasvoissaan näkyi vielä selvempänä se rottamainen ilme , joka silloin tällöin pilkisti pojan piirteistä .
 2890137	pistää_silmä	 idiomatic	Aamun aurinko pisti silmään , veden kalvosta kimmeltäen , kun viimein pääsi pappilan rantaan .
 2893926	pistää_silmä	 idiomatic	Hänessä oli jotain taiteellisen huolimatonta , joka pisti silmään veljen moitteettoman ulkoasun rinnalla .
 3034028	pistää_silmä	 idiomatic	Kaikki pisti silmään yhtaikaa , porraspääty , suippokatto , riipputorni , kivipyramidi yhdenneltätoista vuosisadalta , liuskakiviobeliski viidenneltätoista , pyöreä ja alaston linnantorni , nelikulmainen ja koristettu kirkontorni , suuri , pieni , raskas , ilmava .
 3047436	pistää_silmä	 idiomatic	Lähistöltä pisti silmäämme joukko kuoppia , joista jokaisen vieressä oli hiekkakasa !
 3113267	pistää_silmä	 idiomatic	Siellä ja täällä oli suuria linnoja , puistoja ja valkoisia teitä , ja varsinkin pistivät silmään punaisten ja valkoisten kaapelipylväiden reunustamat polut .
 3140920	pistää_silmä	 idiomatic	Apinat , näitten metsien alkuperäiset asukkaat pitävät iloaan puitten tummahtavilla oksilla , joista niiden harmaa ja vihertävä karva ja sysimustat naamat pistävät silmiin ; jotkut riippuvat vain hännästä ja kieppuroivat ilmassa , toiset hyppivät oksalta toiselle kantaen penikoitaan sylissään .
 3158433	pistää_silmä	 idiomatic	Hänen punainen ja aivan vähän harmahtava poskipartansa pisti silmään lumivalkoisen ja vielä tuuhean tukan ohella .
 3209213	pistää_silmä	 idiomatic	Hänen pienet pistävät silmänsä katsovat Aslakia .
 3220101	pistää_silmä	 idiomatic	Kasvot oli ryppyiset , ja erityisesti pisti silmään kaksi syvää vakoa suun kummallakin puolen .
 3278173	pistää_silmä	 idiomatic	On muuan piirre , mikä heti pistää silmiin Tammsaaren novelleissa : niissä puhutaan loppumattoman paljon .
 3341183	pistää_silmä	 idiomatic	Erikoisesti pisti silmääni , kuinka ikkuna-aukosta sisääntunkeva aurinko valaisi seinäkellon lasia saaden suuren punaisen sinetin ja molemmat pienet näyttämään tulen keskellä olevien kasvojen piirteiltä .
 3364373	pistää_silmä	 idiomatic	Se pistikin silmiin punaposkisen poikapallukkani rinnalla .
 3379694	pistää_silmä	 idiomatic	Ensin antoi hän kynttiläkruunun -- suuren ja komean , niin että se räikeästi pistää silmiin muutoin niin yksinkertaisesti sisustetussa maalaiskukossa .
 3438529	pistää_silmä	 idiomatic	Vilhon hyvät puolet pistävät silmään kun vertaa häntä toisiin ja erikoisesti on ollut niin laita verratessa häntä Hrimalyyn .
 3446980	pistää_silmä	 idiomatic	He olivat edenneet runsaan lieuen verran ja eroittivat jo kylän ensimmäiset talot , joiden punaiset tiilikatot pistivät silmään ympäristönsä vihreiden puitten taustalta , kun näkivät muulilla ratsastavan munkin tulevan vastaansa ; leveälierisestä hatusta ja harmaasta villakauhtanasta he päättelivät hänet augustiinilaisluostarin veljeksi .
 3616775	pistää_silmä	 idiomatic	Hänen loistavan valkean , mutta tasaisen kalpean hipiänsä sai vielä enemmän pistämään silmään hänen pikimusta tukkansa , hänen kauniisti kaareutuneitten kulmakarvainsa toiset päät melkein koskettivat toisiaan ja ne antoivat hänen kasvoilleen kovan , tai pikemminkin ylpeän ilmeen , silti vähintäkään vähentämättä hänen piirteittensä kokonaisvaikutuksen suloa .
 3690133	pistää_silmä	 idiomatic	Hän ei ollut sitä ennen niin ajatellut , mutta nyt se pisti silmään tänä kirkkaana kevätpäivänä , kun kaikki luonnossa oli niin nuorteaa ja voimakasta ja hänen oma povensa uhkui elämänhalua ja voimaa .
 3695630	pistää_silmä	 idiomatic	Oikeinkirjoituksessa pistävät silmään muutamat ruotsalaisuudet , joita ei kirkollisessa kirjallisuudessamme juuri milloinkaan tapaa .
